Keyword,Country,Difficulty,Volume,CPC,CPS,Parent Keyword,Last Update,SERP Features,Global volume,Traffic potential,First seen
school bags,us,12.0,2400.0,0.7,0.57,school bags,########,"Shopping results,Thumbnail,Image pack",67000.0,350.0,
tote bags for school,us,6.0,2300.0,,1.07,tote bags for school,########,"Thumbnail,Discussions",3900.0,1700.0,
book bags for school,us,26.0,1100.0,,0.62,backpacks for school,########,"Shopping results,Thumbnail,Image pack,Videos",2000.0,11000.0,
school bags for girls,us,7.0,1000.0,,0.49,school bags for girls,########,"Shopping results,Thumbnail,Discussions",35000.0,500.0,
school bags for boys,us,1.0,900.0,,0.69,boys' school backpacks,########,"Shopping results,Thumbnail,Image pack",20000.0,1400.0,
school book bags,us,19.0,900.0,,0.6,backpacks for school,########,"Shopping results,Thumbnail,Image pack,Discussions,Videos",1400.0,10000.0,
bags for school,us,16.0,700.0,,0.38,school bags,########,"Shopping results,Thumbnail,Discussions,Image pack",5400.0,450.0,
messenger bags for school,us,1.0,600.0,,0.96,messenger bag for school,########,"Shopping results,Thumbnail,People also ask,Discussions",1000.0,600.0,
cute tote bags for school,us,6.0,600.0,,,tote bags for school,########,"Image pack,Thumbnail",700.0,1700.0,
shoulder bags for school,us,0.0,600.0,,0.84,shoulder bags for school,########,"Image pack,Thumbnail,Discussions",1200.0,600.0,
kids school bags,us,25.0,500.0,,0.91,pottery barn backpacks,########,"Shopping results,Thumbnail,Discussions",7500.0,21000.0,
back to school bags,us,4.0,500.0,,,back to school backpacks,########,"Shopping results,Thumbnail,Image pack,Discussions",1600.0,500.0,
school bags for kids,us,19.0,500.0,,1.23,kids backpacks,########,"Shopping results,Thumbnail,Discussions",5000.0,2400.0,
valentine bags for school,us,0.0,400.0,,,valentines bags for school,########,"Image pack,Shopping results,Thumbnail,Discussions,Videos",400.0,350.0,
cute school bags,us,1.0,350.0,,0.48,cute backpacks for school,########,"Shopping results,Thumbnail,Image pack,Discussions",1800.0,800.0,
milk bags school,us,0.0,300.0,,,bag of milk school,########,"People also ask,Thumbnail,Discussions",300.0,400.0,
school tote bags,us,4.0,300.0,,1.07,tote bags for school,########,"Discussions,Thumbnail,People also ask",600.0,1500.0,
cute bags for girls for school,us,1.0,250.0,,,school bags for girls,########,"Shopping results,Thumbnail,Image pack,Discussions",12000.0,500.0,
nike school bags,us,0.0,250.0,,0.63,nike bookbag,########,"Shopping results,Thumbnail,Image pack",12000.0,900.0,
school bags for teenage girl,us,2.0,250.0,,,teen girl backpacks,########,"Thumbnail,Shopping results,People also ask,Discussions",4400.0,1600.0,
school bags for college,us,7.0,250.0,,1.0,college backpacks,########,"Shopping results,Thumbnail,Image pack,Discussions",450.0,3000.0,
girls school bags,us,5.0,200.0,,0.52,school bags for girls,########,"Shopping results,Thumbnail,Discussions",4800.0,500.0,
cute bags for school,us,3.0,200.0,,,cute backpacks for school,########,"Shopping results,Thumbnail,Image pack,Discussions",600.0,700.0,
school sholder bags,us,2.0,200.0,0.3,,school sholder bags,########,"Image pack,Thumbnail,Videos",200.0,250.0,
school bags for teenage girls,us,2.0,200.0,,,teen girl backpacks,########,"Shopping results,Thumbnail,Image pack,Discussions",1800.0,2100.0,
valentine's day bags for school,us,1.0,200.0,,,valentines bags for school,########,"Image pack,Shopping results,Thumbnail,Discussions",200.0,350.0,
adidas school bags,us,0.0,200.0,,,adidas backpack school,########,"Shopping results,Thumbnail,Image pack",4300.0,350.0,
school messenger bags,us,1.0,200.0,,1.18,messenger bag for school,########,"People also ask,Shopping results,Thumbnail,Discussions,Image pack",250.0,600.0,
